ticker,name,sector
ABMM.JK,ABM Investama Tbk.,Energy
ADMR.JK,Adaro Minerals Indonesia Tbk.,Energy
ADRO.JK,Adaro Energy Indonesia Tbk.,Energy
AIMS.JK,Artha Mahiya Investama Tbk.,Energy
AKRA.JK,AKR Corporindo Tbk.,Energy
ALII.JK,Ancara Logistics Indonesia Tbk,Energy
APEX.JK,Apexindo Pratama Duta Tbk.,Energy
ARII.JK,Atlas Resources Tbk.,Energy
ARTI.JK,Ratu Prabu Energi Tbk,Energy
ATLA.JK,Atlantis Subsea Indonesia Tbk.,Energy
BBRM.JK,Pelayaran Nasional Bina Buana ,Energy
BESS.JK,Batulicin Nusantara Maritim Tb,Energy
BIPI.JK,Astrindo Nusantara Infrastrukt,Energy
BOSS.JK,Borneo Olah Sarana Sukses Tbk.,Energy
BSML.JK,Bintang Samudera Mandiri Lines,Energy
BSSR.JK,Baramulti Suksessarana Tbk.,Energy
BULL.JK,Buana Lintas Lautan Tbk.,Energy
BUMI.JK,Bumi Resources Tbk.,Energy
BYAN.JK,Bayan Resources Tbk.,Energy
CANI.JK,Capitol Nusantara Indonesia Tb,Energy
CBRE.JK,Cakra Buana Resources Energi T,Energy
CGAS.JK,Citra Nusantara Gemilang Tbk.,Energy
CNKO.JK,Exploitasi Energi Indonesia Tb,Energy
COAL.JK,Black Diamond Resources Tbk.,Energy
CUAN.JK,Petrindo Jaya Kreasi Tbk.,Energy
DEWA.JK,Darma Henwa Tbk,Energy
DOID.JK,Delta Dunia Makmur Tbk.,Energy
DSSA.JK,Dian Swastatika Sentosa Tbk,Energy
DWGL.JK,Dwi Guna Laksana Tbk.,Energy
ELSA.JK,Elnusa Tbk.,Energy
ENRG.JK,Energi Mega Persada Tbk.,Energy
FIRE.JK,Alfa Energi Investama Tbk.,Energy
GEMS.JK,Golden Energy Mines Tbk.,Energy
GTBO.JK,Garda Tujuh Buana Tbk,Energy
GTSI.JK,GTS Internasional Tbk.,Energy
HILL.JK,Hillcon Tbk.,Energy
HITS.JK,Humpuss Intermoda Transportasi,Energy
HRUM.JK,Harum Energy Tbk.,Energy
HUMI.JK,Humpuss Maritim Internasional ,Energy
IATA.JK,MNC Energy Investments Tbk.,Energy
INDY.JK,Indika Energy Tbk.,Energy
INPS.JK,Indah Prakasa Sentosa Tbk.,Energy
ITMA.JK,Sumber Energi Andalan Tbk.,Energy
ITMG.JK,Indo Tambangraya Megah Tbk.,Energy
JSKY.JK,Sky Energy Indonesia Tbk.,Energy
KKGI.JK,Resource Alam Indonesia Tbk.,Energy
KOPI.JK,Mitra Energi Persada Tbk.,Energy
LEAD.JK,Logindo Samudramakmur Tbk.,Energy
MAHA.JK,Mandiri Herindo Adiperkasa Tbk,Energy
MBAP.JK,Mitrabara Adiperdana Tbk.,Energy
MBSS.JK,Mitrabahtera Segara Sejati Tbk,Energy
MCOL.JK,Prima Andalan Mandiri Tbk.,Energy
MEDC.JK,Medco Energi Internasional Tbk,Energy
MKAP.JK,Multikarya Asia Pasifik Raya T,Energy
MTFN.JK,Capitalinc Investment Tbk.,Energy
MYOH.JK,Samindo Resources Tbk.,Energy
PGAS.JK,Perusahaan Gas Negara Tbk.,Energy
PKPK.JK,Perdana Karya Perkasa Tbk,Energy
