ticker,date,broker_code,broker_name,buy_value,sell_value,net_value,buy_lot,sell_lot,net_lot,avg_buy_price,avg_sell_price,broker_type
BBCA.JK,2026-07-01,CC,Mandiri Sekuritas,3218929331.2773523,9907116818.840252,-6688187487.5629,3580,11021,-7441,9038.265295458545,8999.344113027899,local
BBCA.JK,2026-07-01,YP,Mirae Asset Sekuritas,4151915289.271568,9910866184.749529,-5758950895.477961,4618,11025,-6407,8963.352193909966,9044.706704680912,local
BBCA.JK,2026-07-01,PD,Indo Premier Sekuritas,7514851361.068922,17934605850.984234,-10419754489.915312,8359,19951,-11592,8899.459237314728,9071.862993701654,local
BBCA.JK,2026-07-01,OD,BRI Danareksa Sekuritas,13875691273.458956,9715110872.270674,4160580401.188282,15436,10807,4629,9028.172343078812,8983.434259116055,local
BBCA.JK,2026-07-01,AK,UBS Sekuritas,8337596344.847041,2163464487.138182,6174131857.7088585,9275,2406,6869,8915.680631294932,9076.688469231138,foreign
BBCA.JK,2026-07-01,ZP,Maybank Sekuritas,19511270236.310135,2419464968.6076903,17091805267.702444,21705,2691,19014,8982.73137666784,9065.754050240083,foreign
BBCA.JK,2026-07-01,CS,Credit Suisse,6120225076.307805,341976199.5141624,5778248876.793643,6808,380,6428,8975.97975831217,9011.495698681641,foreign
BBCA.JK,2026-07-01,KZ,CLSA Sekuritas,2483638439.9226213,3548733470.6831937,-1065095030.7605724,2762,3947,-1185,8984.001385509284,8938.727362158164,foreign
BBCA.JK,2026-07-01,NI,BNI Sekuritas,5695198432.170963,5184001824.130371,511196608.0405922,6335,5766,569,9006.038998329153,9009.337174531038,local
BBCA.JK,2026-07-01,DX,Bahana Sekuritas,3042036978.33987,2549116201.2138934,492920777.12597656,3384,2835,549,9057.133703389873,9076.427662928045,local
BBCA.JK,2026-06-30,CC,Mandiri Sekuritas,422390423.19410163,356114104.19530123,66276318.9988004,466,393,73,9023.334082237823,9010.188719658627,local
BBCA.JK,2026-06-30,YP,Mirae Asset Sekuritas,1351990687.825049,1348760769.6589913,3229918.1660575867,1493,1490,3,9119.284398953205,9133.62706048036,local
BBCA.JK,2026-06-30,PD,Indo Premier Sekuritas,1542148492.3833685,1379039315.390617,163109176.9927516,1703,1523,180,9011.167169958413,9140.885390270561,local
BBCA.JK,2026-06-30,OD,BRI Danareksa Sekuritas,2409926977.8248115,2586271604.7445526,-176344626.91974115,2662,2857,-195,9011.530691674125,9120.425456818884,local
